Product,Brand,Category,Review Date,Review Text,Review Title,Rating
Gaming Headset,Razer,Electronics,2023-09-19,This product has been amazing. I use it every day with no issues. I've had it for 10 months.,"Meh, just okay",3
Wireless Keyboard,Logitech,Accessories,2023-02-16,Does the job but not as well as I had hoped. Could be improved. I've had it for 2 months.,Not worth it,2
Robot Vacuum,iRobot,Home Appliances,2022-01-04,Very pleased with this! Works as expected and easy to use. I've had it for 9 months.,"Meh, just okay",4
Espresso Machine,Breville,Home Appliances,2022-03-14,This exceeded my expectations! The design and performance are outstanding. I've had it for 22 months.,Exceeded my expectations,5
Wireless Keyboard,Logitech,Accessories,2023-07-27,"Terrible build quality, not recommended at all. I've had it for 13 months.",Very disappointed,4
Electric Toothbrush,Oral-B,Health & Personal Care,2022-07-13,"Terrible build quality, not recommended at all. I've had it for 5 months.",Terrible experience,5
Robot Vacuum,iRobot,Home Appliances,2022-01-30,Decent product but not worth the price. I expected better durability. I've had it for 9 months.,Fantastic product!,1
Digital Camera,Canon,Photography,2022-05-29,"Terrible build quality, not recommended at all. I've had it for 13 months.",Highly recommended,1
Digital Camera,Canon,Photography,2023-02-26,Does the job but not as well as I had hoped. Could be improved. I've had it for 23 months.,Terrible experience,3
Fitness Tracker,Fitbit,Wearables,2023-01-08,"Terrible build quality, not recommended at all. I've had it for 14 months.",Excellent quality!,2
Robot Vacuum,iRobot,Home Appliances,2022-02-15,"I regret buying this, the build quality is terrible and it stopped working quickly. I've had it for 5 months.",Terrible experience,5
Espresso Machine,Breville,Home Appliances,2022-10-10,"Terrible build quality, not recommended at all. I've had it for 20 months.",Exceeded my expectations,2
Laptop Backpack,Samsonite,Luggage & Travel,2023-04-24,This product has been amazing. I use it every day with no issues. I've had it for 6 months.,Good but not great,5
Electric Toothbrush,Oral-B,Health & Personal Care,2022-10-29,Does the job but not as well as I had hoped. Could be improved. I've had it for 5 months.,Excellent quality!,2
Espresso Machine,Breville,Home Appliances,2023-06-23,Does the job but not as well as I had hoped. Could be improved. I've had it for 7 months.,Exceeded my expectations,5
Robot Vacuum,iRobot,Home Appliances,2023-10-18,"A solid purchase, though I have some concerns about long-term reliability. I've had it for 24 months.",Very disappointed,4
Smart Thermostat,Nest,Smart Home,2023-09-22,This exceeded my expectations! The design and performance are outstanding. I've had it for 19 months.,Very disappointed,2
Fitness Tracker,Fitbit,Wearables,2022-11-21,"The product performs exceptionally well, very satisfied with my purchase. I've had it for 12 months.",Exceeded my expectations,2
Digital Camera,Canon,Photography,2023-08-12,"I regret buying this, the build quality is terrible and it stopped working quickly. I've had it for 4 months.",Excellent quality!,4
